#n T(K)  s(MPa)P(MPa)                         file e(1/s)   strain
# Anita dry
 1 1673      00   300      chopra_pat_84_4580_1.dat  1.00e-4     0  
 2 1673     190   300      chopra_pat_84_4580_2.dat  3.20e-5 0.041 
 3 1673     138   300      chopra_pat_84_4580_3.dat  1.00e-5 0.071
 4 1573      00   300      chopra_pat_84_4469_1.dat  1.10e-4     0
 5 1573     131   300      chopra_pat_84_4469_2.dat  1.00e-5 0.077
 6 1573     229   300      chopra_pat_84_4469_3.dat  1.10e-4 0.096
 7 1483      00   300      chopra_pat_84_4526_1.dat  5.30e-5     0
 8 1483      00   300      chopra_pat_84_4667_1.dat  3.10e-5     0 
 9 1483     567   300      chopra_pat_84_4667_2.dat  3.40e-6 0.073
10 1473      00   300      chopra_pat_84_4461_1.dat  1.10e-5     0
11 1483      00   300      chopra_pat_84_4668_1.dat  9.72e-6     0
12 1483   348.5   300      chopra_pat_84_4668_2.dat  1.24e-6 0.026
# Ahem dry
13 1573     00   300      chopra_pat_84_4581_1.dat  1.07e-4      0
14 1573  368.4   300      chopra_pat_84_4581_2.dat  3.20e-5  0.051
15 1573  271.0   300      chopra_pat_84_4581_3.dat  1.10e-5 0.0803
16 1573     00   300      chopra_pat_84_4576_1.dat  1.08e-4      0
17 1473     00   300      chopra_pat_84_4462_1.dat  1.20e-5      0
18 1483     00   300      chopra_pat_84_4666_1.dat  3.60e-5      0
19 1483  470.6   300      chopra_pat_84_4666_2.dat  3.74e-6  0.074
20 1483     00   300      chopra_pat_84_4675_1.dat  1.20e-5      0
21 1483  389.5   300      chopra_pat_84_4675_2.dat  1.30e-6  0.057
22 1553     00   300      chopra_pat_84_4506_1.dat  1.20e-4      0
